as,probe_count
3320,361
7922,334
2860,305
3209,274
3215,243
12322,217
7018,135
701,115
33915,110
6830,110
5089,91
15557,82
8881,77
47583,72
1136,68
3265,68
3269,64
5410,62
2856,55
209,53
6805,53
13030,52
6848,52
12389,52
3352,51
13037,51
4764,51
20115,45
16019,42
20712,41
5432,41
3303,41
2119,38
577,37
58224,35
22773,35
6871,34
3301,34
553,34
3292,33
8473,33
3243,33
680,32
6799,32
206238,31
719,31
35540,31
20001,30
5650,30
852,30
7545,29
29695,28
8447,28
12874,28
8422,28
812,28
16509,27
5607,26
9145,24
20473,24
10796,24
1267,24
16086,23
5645,23
11351,23
12479,23
786,22
25596,22
62538,22
8767,21
8708,21
15169,21
16276,21
42610,20
33363,19
60294,19
8402,19
24940,19
199524,19
14061,19
46375,18
9031,18
2527,18
30722,18
31898,18
199284,18
3329,17
12392,17
25513,17
2516,17
24560,16
16591,16
28573,16
12353,15
5617,15
6327,15
6128,15
5378,15
35612,15
15943,15
9198,15
4788,15
50266,15
15435,15
37002,15
1759,14
6057,14
38195,14
35807,14
11427,14
12083,14
4713,14
29355,14
41164,13
5466,13
8359,13
8758,13
8220,13
12714,13
15895,13
15133,13
3491,13
1241,13
9829,13
31042,12
2200,12
34779,12
13036,12
5769,12
4773,12
48503,12
56478,12
29518,12
43754,12
20845,11
1853,11
1103,11
4771,11
27017,11
15962,11
39608,11
1403,11
15600,11
8866,11
8339,11
5483,11
24904,11
6730,11
40788,11
25255,11
63473,11
133481,10
1221,10
61157,10
8764,10
8228,10
55391,10
6697,10
12876,10
42652,10
8251,10
11426,10
18106,10
8612,10
378,9
44869,9
2852,9
27699,9
174,9
4804,9
559,9
6661,9
31246,9
3326,9
36236,9
15802,9
6079,9
4766,9
39651,9
4739,8
13045,8
13188,8
12312,8
2514,8
60876,8
15038,8
5610,8
21283,8
28685,8
204151,8
42473,8
59105,8
30036,8
17676,8
55836,8
15366,8
35492,7
1653,7
1764,7
30781,7
47331,7
137,7
3741,7
9790,7
8334,7
28725,7
6855,7
8437,7
47377,7
5588,7
8551,7
25229,7
21263,7
12578,7
31200,7
3249,7
24921,7
199610,7
12414,7
12008,7
15502,7
13285,7
29314,7
56030,7
19108,7
57370,7
15796,7
201701,7
23655,7
8365,7
6752,7
30764,7
12709,7
4134,7
15457,7
36352,7
8820,6
2497,6
8426,6
5603,6
8412,6
1955,6
55430,6
12668,6
2110,6
2914,6
3216,6
12897,6
1836,6
20676,6
44489,6
41733,6
25472,6
7029,6
8788,6
8400,6
9158,6
2108,6
202196,6
55002,6
57695,6
197540,6
2107,6
137409,6
12496,6
12611,6
1273,6
8492,6
11260,6
4685,6
4760,6
6939,6
51873,6
39544,6
15547,6
24961,6
15704,6
8386,6
42580,6
7418,5
50629,5
12859,5
328453,5
2116,5
45011,5
2611,5
13101,5
20880,5
9500,5
25512,5
2614,5
198930,5
51184,5
42313,5
29208,5
17506,5
30784,5
224,5
35244,5
12741,5
12271,5
11404,5
49100,5
47787,5
60781,5
49505,5
43557,5
1741,5
8468,5
3462,5
9105,5
42541,5
43708,5
32329,5
31122,5
7303,5
8151,5
8362,5
1901,5
34984,5
8369,5
25019,5
19165,5
24309,5
12735,5
47524,5
24186,5
198471,5
49472,5
12605,5
29014,5
34757,5
51167,5
25184,5
41620,5
135262,5
5078,5
39029,4
8331,4
8346,4
2602,4
203953,4
3605,4
15954,4
16353,4
49800,4
21021,4
42306,4
10242,4
3213,4
34347,4
56329,4
34612,4
34602,4
7642,4
3245,4
12963,4
9009,4
31214,4
1680,4
28792,4
8522,4
12400,4
20764,4
855,4
60036,4
206067,4
37680,4
43966,4
11232,4
15516,4
8717,4
13127,4
43996,4
14907,4
1133,4
21412,4
8560,4
203296,4
42689,4
16347,4
58057,4
202422,4
9136,4
6659,4
62513,4
31655,4
63949,4
1213,4
8661,4
4922,4
44395,4
22047,4
50673,4
13319,4
31027,4
6400,4
41090,4
39647,4
11845,4
36914,4
13046,4
9534,4
9930,4
56300,4
37611,4
9269,4
6360,4
13189,4
29580,4
2518,4
37199,4
206065,4
44244,4
208574,4
15964,4
10620,4
40980,4
21928,4
38229,4
2552,4
35328,4
14754,4
8821,4
49808,4
1257,4
35805,4
18403,4
8445,4
12430,4
17451,4
9824,4
3221,4
9116,4
133982,4
57199,4
21309,4
17511,4
41998,4
28812,4
27882,4
33182,4
203817,4
8559,4
43341,4
9063,4
64475,4
21351,4
39308,4
134697,4
9121,4
197451,4
