as,pfx_count
8151,8829
12479,7960
47331,7794
9808,7773
16509,6469
7545,6055
2516,5872
7552,5579
22773,5140
4538,4922
11492,4749
20940,4280
39891,4058
7155,4033
11172,3921
45609,3759
45899,3651
7713,3645
8551,3615
10620,3512
6327,3454
16625,3392
30036,3154
12389,2931
20115,2761
4766,2692
28573,2594
9009,2585
209,2555
11830,2488
4808,2436
9498,2421
17622,2362
5650,2349
34984,2258
9829,2228
5972,2223
45271,2190
45090,2131
4755,2129
18566,1993
7303,1988
56047,1968
23969,1951
56046,1937
7018,1849
56041,1829
9394,1819
24560,1793
13999,1770
18403,1769
174,1769
13335,1752
9583,1730
17623,1706
13188,1682
24547,1654
61317,1645
36992,1596
24863,1589
58224,1577
20057,1525
36352,1520
25019,1490
6503,1455
24835,1442
8376,1428
38266,1376
11664,1352
4181,1333
4134,1312
4837,1267
3356,1263
17488,1257
6147,1235
3816,1232
22394,1217
6849,1214
701,1200
714,1193
36903,1189
135887,1179
19551,1161
33363,1153
9605,1129
8452,1113
21299,1092
8402,1080
11776,1076
7029,1074
9198,1067
26615,1065
32098,1034
6389,995
46573,992
6167,990
8103,987
9121,981
56044,977
855,947
62240,936
385,932
31898,923
40676,914
18881,913
55303,901
3215,892
3257,891
45820,891
36351,886
21859,881
13977,879
3549,869
18101,868
17072,850
132203,841
50710,835
812,832
55410,831
17621,828
3786,827
15169,827
7979,813
45528,804
35913,792
20473,789
10507,785
12083,777
17676,777
27064,776
64050,775
15133,768
28006,765
8100,752
22884,749
49505,741
852,734
134548,729
55286,728
8972,725
19429,720
4847,719
140061,718
9919,717
29571,715
54113,714
35908,713
17557,708
24445,705
8881,703
6471,703
4780,695
8866,694
13649,681
23724,680
17439,680
12849,678
1239,678
10796,677
14061,676
9541,676
2386,673
35994,660
9924,650
577,648
17552,643
8386,643
6830,642
24444,642
22085,641
13490,640
7015,640
2907,634
7470,630
24955,624
27738,623
8764,622
31148,621
7738,620
14117,616
8003,614
132165,614
3561,611
4812,608
17638,604
6057,602
4628,601
4771,601
9318,593
7497,592
27773,589
26496,578
12735,569
140313,567
43766,567
14618,564
21826,561
40065,557
13768,556
62904,556
23650,554
29802,553
17841,553
6713,551
3462,549
132199,549
17451,547
35819,546
26599,544
3573,540
50010,539
18207,536
131429,535
45102,528
131596,528
7011,527
52228,520
4761,519
36935,515
3320,512
17853,512
51964,505
4637,503
60781,502
21565,501
1541,497
23473,496
45769,493
37963,493
45753,491
29119,490
46887,490
15399,486
18809,483
10036,476
28509,476
18779,475
27046,474
24173,473
54994,470
47524,470
27715,470
4800,469
17995,469
45194,467
56040,466
28118,466
6621,457
137443,456
36492,455
37342,455
46261,454
12252,452
46562,451
45458,451
199524,450
4750,450
9304,445
38283,444
133481,443
23889,442
9155,441
12041,439
8048,436
46844,433
9299,432
134773,431
9658,431
19108,427
12400,425
131090,422
133612,420
134772,416
63949,414
42337,412
48161,411
58543,410
135377,410
22363,409
4809,407
7459,406
22646,404
203999,403
17762,401
22047,401
40285,400
38623,396
3329,392
4788,391
55836,391
15897,390
3491,390
4657,388
33438,386
33287,386
55430,386
24158,383
3301,382
45400,382
4739,381
4787,381
48832,377
1221,374
132061,372
197695,370
44244,369
17184,369
136200,368
4760,367
134775,366
33651,366
33657,365
45117,365
33491,363
18747,362
22724,362
18229,359
4764,355
32787,354
17639,354
9116,354
22561,354
36692,351
35141,350
16526,348
3303,347
395965,347
9845,346
11976,346
21433,346
45903,345
4804,344
30844,344
13124,343
27775,343
1136,342
140726,342
262186,342
8167,341
6697,340
27651,337
58065,334
33915,334
17917,334
2018,334
2764,333
52257,333
63199,332
9381,332
39855,331
9340,331
7016,329
55720,328
17465,328
13213,325
32934,323
306,323
3269,322
15774,322
5384,321
15502,321
51167,320
134543,320
33659,319
23470,318
42926,318
7046,317
140308,317
23089,316
3758,316
10753,312
38264,312
7633,312
58461,311
3255,311
12552,310
4795,310
23410,310
10013,309
10029,308
42473,307
2914,307
14754,307
54103,306
7287,303
4515,302
3352,301
20746,301
24086,301
203020,299
11139,299
2856,298
34296,297
45069,296
23674,294
29465,293
5056,293
42298,292
15290,292
262197,291
27983,291
11272,290
702,290
9824,289
14259,288
42,288
680,288
31133,287
5769,286
31549,286
15924,286
7474,285
131293,285
9770,285
45916,283
721,282
20978,281
132839,280
29256,279
31126,279
3223,279
36947,279
7296,278
9929,277
22368,277
37693,276
4618,276
14265,275
24757,275
18300,275
22284,273
204170,272
21050,272
6407,271
12222,270
136958,270
1273,269
140345,269
62468,268
51559,267
14813,267
38370,267
9341,267
34164,266
9908,265
45671,264
3209,263
52468,263
637,263
14638,262
11888,262
7896,262
61157,261
4249,261
2665,261
12772,260
33652,260
133774,257
134810,257
27882,257
4775,256
29049,256
38197,256
37121,256
131445,255
35041,255
30722,254
14654,253
12975,252
15830,252
36236,252
20278,252
29580,252
43260,251
6648,251
55714,251
36974,250
28840,248
139646,248
13886,247
131111,247
3551,247
140312,245
46606,245
64267,245
42772,245
36914,245
28202,245
16960,245
43754,244
42910,244
56300,244
23584,243
6821,243
4670,243
34665,242
58895,242
46618,241
139007,238
27947,237
8075,237
24154,237
647,237
46687,236
18822,236
20860,235
133115,235
48695,235
6703,235
23655,234
47794,234
50340,232
10103,232
17857,232
136198,231
4058,231
5089,231
11432,231
9723,230
14080,230
3602,230
132525,229
35753,228
1257,228
140316,228
11427,228
48503,228
13591,227
24319,226
14522,226
4713,226
42366,225
24309,225
62642,225
17444,223
16135,222
131591,222
1916,222
24138,221
3216,220
32475,220
13576,220
9070,220
452,220
18002,219
15704,219
29357,219
12301,218
20001,218
2906,218
12978,218
25227,217
24203,216
133847,216
264668,216
2119,215
198471,215
136800,215
3741,214
23860,214
44558,214
28300,214
9569,212
27747,212
11351,212
47589,212
10429,212
47241,211
30689,211
10139,211
16814,211
668,210
35048,209
265594,209
197207,208
136199,208
25229,208
55002,208
137697,208
17598,207
786,207
36522,207
15419,207
18001,207
27435,207
7922,206
17908,206
53755,205
4765,205
7342,205
58640,204
20161,204
28469,203
26375,203
6461,203
43561,203
12714,202
59371,202
5786,202
17858,201
55824,201
21928,201
9471,201
17754,201
38186,200
1759,200
24186,200
39824,199
28885,198
56048,198
23487,198
58647,198
45727,197
7725,197
3596,197
26611,197
62,196
35986,196
2497,196
6075,196
9319,195
9123,195
15802,195
58466,195
12418,195
7575,195
17849,195
8163,195
4802,195
39184,194
15706,194
376,194
28403,194
9269,193
42961,193
23563,193
27951,193
2635,193
2116,192
18004,192
24554,192
12491,192
7602,192
51407,191
4648,191
58678,191
11215,191
10122,191
45510,190
1237,190
9286,189
140317,189
38841,189
4565,189
25820,188
60068,188
25106,188
14492,188
9051,187
12302,187
11696,187
31163,186
6939,185
17816,185
136190,184
4758,183
17665,183
15128,183
3246,183
34224,182
57858,182
135905,182
17421,182
16229,182
719,181
12208,181
37054,181
19969,180
27843,180
23944,180
27699,180
26210,180
4725,179
19905,179
10010,178
38195,178
17306,178
23956,178
43350,177
3326,177
18049,177
9822,177
20299,177
137693,177
2519,176
32708,176
12663,176
36873,176
28075,176
28343,176
7489,175
51440,175
24631,175
35104,175
55352,175
11014,175
10617,175
2514,174
197328,174
8220,174
23930,173
209706,173
13904,173
30466,173
24400,173
20928,173
37492,173
31798,173
6412,173
202769,173
28548,173
23576,172
198949,172
55592,172
28201,172
367,171
55081,171
11845,171
2152,171
278,171
55644,170
262589,170
11426,170
9931,170
204472,170
9652,169
19229,169
44444,169
55933,168
38710,168
6762,167
51375,167
54004,167
58519,167
37340,167
27884,167
16863,167
3292,166
2687,166
16591,166
7184,166
8926,165
17819,165
3214,165
4826,165
133296,165
12709,165
262287,164
9038,164
41564,164
23700,164
45763,164
8698,164
28015,164
45974,163
34977,163
42708,163
4721,163
395954,163
203872,163
12357,163
23966,163
49453,162
17882,162
38835,162
17625,161
54600,161
2048,161
10794,161
50129,160
45352,160
22612,160
29084,160
204601,160
17477,160
206067,160
7687,160
5416,159
52362,159
21599,158
212046,158
23243,158
5606,157
57976,157
3801,157
11232,157
17547,157
133199,157
4694,157
3833,157
23383,157
20214,156
10030,156
31400,155
208861,155
12271,154
328471,154
134420,154
6614,154
12257,153
136907,153
63911,153
28258,153
9729,153
8708,152
1267,152
25145,152
57218,152
10094,152
6640,152
9293,152
28391,152
39010,151
134764,151
20412,151
38901,151
10143,151
8544,151
20738,150
2697,150
33182,149
25374,149
24689,149
213035,148
50673,148
18678,148
35074,148
207266,148
262468,148
47583,147
204805,147
19397,147
23352,147
15404,147
54825,147
81,147
48635,146
25184,146
208913,146
6712,146
63888,146
262191,146
23314,146
23201,146
48146,145
7203,145
7843,145
18209,145
5639,145
327687,145
27066,145
494,145
132215,144
3,144
7642,144
21889,143
6453,143
135391,143
15695,143
262916,143
133982,142
9812,142
38096,142
40933,142
63859,142
7540,142
27086,142
29286,141
9050,141
37053,141
17747,141
17885,141
8781,140
45814,140
29314,140
131178,140
29687,140
136525,139
30999,139
55990,139
62943,139
4983,139
27953,139
29975,138
45804,138
20207,138
29582,138
9021,138
63646,138
49063,137
32261,137
22011,137
57844,136
42831,136
23148,136
705,136
11042,136
2711,136
33517,136
7562,135
18530,135
26636,135
56042,135
35470,134
8346,134
9260,134
19871,134
531,134
18558,134
41798,133
16276,133
4466,133
2860,133
14127,133
34295,133
27696,133
1280,133
45960,132
398968,132
9229,132
10310,132
12684,132
23673,132
18501,132
41164,131
1246,131
9946,131
2828,131
23884,130
41095,130
24342,130
19089,130
9125,129
29182,129
559,129
27668,129
37037,128
133275,128
9311,128
17054,128
6256,128
38457,128
134540,127
38676,127
36086,127
132116,127
201942,127
24028,127
17803,127
9697,126
48096,126
203,126
38182,126
6866,126
29648,126
132422,126
3900,126
24157,125
31027,125
30873,125
8068,125
22995,125
29791,125
6039,125
27839,125
8895,125
12874,124
8359,124
44252,124
23005,124
109,124
63018,124
9902,124
50316,124
18859,124
11556,124
1299,123
64200,123
16637,123
3790,123
17563,123
52232,123
27813,123
28359,123
52251,123
17839,122
199610,122
15557,122
20911,122
12455,122
2134,122
7160,122
9255,122
51747,121
24429,121
5645,121
9873,121
29684,121
15471,121
27927,121
10834,121
7438,121
49544,120
33616,120
15085,120
2686,120
23033,120
38322,120
38794,120
16552,120
7908,120
14537,119
38120,119
17813,119
12392,119
10279,119
39074,119
63612,119
3475,119
210079,118
5588,118
9329,118
35911,118
14988,118
38320,118
38661,118
9617,118
22697,118
12768,117
200845,117
6799,116
42682,116
1452,116
9534,116
11054,116
397630,116
41881,116
270,116
51570,115
16397,115
12025,115
9911,115
38019,115
34619,115
132770,115
17408,115
2714,115
22439,115
18687,115
47883,114
35916,114
8492,114
5778,114
23024,114
243,114
2920,114
21342,113
36444,113
4816,113
30823,113
212238,113
132280,113
33660,113
31452,113
35567,113
262907,113
11562,113
53066,113
9762,112
6739,112
6619,112
8426,112
7349,112
9943,112
33070,112
18190,112
2379,112
39737,112
35228,112
395776,112
26617,112
11340,112
5413,111
23520,111
10835,111
45062,111
1828,111
20845,111
16815,111
22489,111
38631,111
72,111
59109,111
53356,110
7381,110
396982,110
36994,110
328608,110
22927,110
23498,110
22527,110
21575,110
200484,109
48095,109
34549,109
26658,109
12695,109
57910,109
5610,109
45780,109
38365,109
