ix_id,ixlan_id,proto,prefix
1,1,IPv4,206.126.236.0/22
1,1,IPv6,2001:504:0:2::/64
2,2,IPv4,208.115.136.0/23
2,2,IPv6,2001:504:0:4::/64
3,3,IPv4,206.223.118.0/23
3,3,IPv6,2001:504:0:5::/64
4,4,IPv4,206.223.123.0/24
4,4,IPv6,2001:504:0:3::/64
5,5,IPv4,206.223.116.0/23
5,5,IPv6,2001:504:0:1::/64
7,7,IPv4,198.32.175.0/24
7,7,IPv4,198.32.176.0/24
7,7,IPv4,198.32.177.0/24
7,7,IPv6,2001:504:d::/64
9,9,IPv4,198.32.182.0/24
9,9,IPv6,2001:504:10::/64
10,10,IPv4,198.32.190.0/24
10,10,IPv4,198.32.191.0/24
10,10,IPv4,198.32.192.0/24
10,10,IPv6,2001:504:e::/64
11,11,IPv4,198.32.133.0/24
11,11,IPv4,198.32.134.0/24
11,11,IPv6,2001:504:12::/64
12,12,IPv4,198.32.118.0/24
12,12,IPv4,198.32.119.0/24
12,12,IPv6,2001:504:f::/64
13,13,IPv4,206.81.80.0/23
13,13,IPv6,2001:504:16::/64
14,14,IPv4,198.32.160.0/23
14,14,IPv6,2001:504:1::/64
17,17,IPv4,198.32.242.0/23
17,17,IPv6,2001:504:0:6::/64
18,18,IPv4,195.66.224.0/22
18,18,IPv6,2001:7f8:4::/64
21,21,IPv4,198.32.212.0/24
21,21,IPv6,2001:7fa:11::/64
22,22,IPv4,198.32.132.0/24
22,22,IPv6,2001:478:132::/64
23,23,IPv4,198.32.146.0/24
23,23,IPv6,2001:504:a::/64
24,24,IPv4,206.108.34.0/23
24,24,IPv6,2001:504:1a::34:0/111
26,26,IPv4,80.249.208.0/21
26,26,IPv6,2001:7f8:1::/64
29,29,IPv4,194.42.48.0/24
29,29,IPv6,2001:7f8:c:8235::/64
30,30,IPv4,210.171.224.0/23
30,30,IPv6,2001:de8:8::/64
31,31,IPv4,80.81.192.0/21
31,31,IPv6,2001:7f8::/64
33,33,IPv4,192.65.185.0/24
33,33,IPv6,2001:7f8:1c:24a::/64
34,34,IPv4,193.54.79.0/24
34,34,IPv4,194.68.129.0/24
34,34,IPv6,2001:7f8:4e:2::/64
35,35,IPv4,217.29.66.0/23
35,35,IPv4,217.29.68.0/23
35,35,IPv6,2001:7f8:b:100::/64
35,35,IPv6,2001:7f8:b:101::/64
42,42,IPv4,123.255.88.0/21
42,42,IPv6,2001:7fa:0:1::/64
43,43,IPv4,210.62.255.0/24
43,43,IPv6,2001:7fa:1:7481::/112
48,48,IPv4,185.6.36.0/23
48,48,IPv6,2001:7f8:18::/64
50,50,IPv4,193.203.0.0/23
50,50,IPv6,2001:7f8:30::/64
52,52,IPv4,192.145.251.0/24
52,52,IPv6,2001:7fa:8::/64
53,53,IPv4,5.57.80.0/22
53,53,IPv6,2001:7f8:17::/64
55,55,IPv4,193.188.137.0/24
55,55,IPv6,2001:7f8:35::/64
59,59,IPv4,194.53.172.0/25
59,59,IPv6,2001:7f8:26:8000::/64
59,59,IPv6,2001:7f8:26::/64
60,60,IPv4,91.206.52.0/23
60,60,IPv6,2001:7f8:24::/64
62,62,IPv4,193.242.98.0/24
62,62,IPv6,2001:7f8:2a::/64
63,63,IPv4,193.149.1.0/24
63,63,IPv6,2001:7f8:f::/64
64,64,IPv4,193.239.116.0/22
64,64,IPv6,2001:7f8:13::/64
69,69,IPv4,77.95.71.0/24
69,69,IPv6,2001:7f8:47:47::/64
70,70,IPv4,194.68.123.0/24
70,70,IPv6,2001:7f8:d:ff::/64
71,71,IPv4,91.210.16.0/22
71,71,IPv6,2001:7f8:14::/64
72,72,IPv4,193.136.250.0/24
72,72,IPv6,2001:7f8:a:1::/64
73,73,IPv4,194.59.190.0/24
73,73,IPv6,2001:7f8:2c:1000::/64
74,74,IPv4,185.1.210.0/23
74,74,IPv6,2001:7f8:3d::/64
76,76,IPv4,193.111.172.0/24
76,76,IPv6,2001:7f8:31::/64
77,77,IPv4,193.168.127.0/24
78,78,IPv4,185.1.57.0/25
78,78,IPv4,185.1.57.128/25
78,78,IPv4,192.38.7.0/24
78,78,IPv6,2001:7f8:1f:1500::/64
78,78,IPv6,2001:7f8:1f:9000::/64
78,78,IPv6,2001:7f8:1f::/64
82,82,IPv4,207.231.240.0/25
82,82,IPv4,207.231.240.128/25
82,82,IPv4,207.231.241.0/24
82,82,IPv4,207.231.242.0/25
82,82,IPv4,207.231.242.128/25
82,82,IPv4,207.231.243.0/24
82,82,IPv4,207.231.244.0/24
82,82,IPv4,207.231.245.0/24
82,82,IPv4,207.231.246.0/24
82,82,IPv4,207.231.247.0/24
82,82,IPv4,207.231.248.0/24
82,82,IPv4,207.231.249.0/24
82,82,IPv6,2001:504:b:10::/64
82,82,IPv6,2001:504:b:11::/64
82,82,IPv6,2001:504:b:20::/64
82,82,IPv6,2001:504:b:21::/64
82,82,IPv6,2001:504:b:30::/64
82,82,IPv6,2001:504:b:31::/64
82,82,IPv6,2001:504:b:80::/64
82,82,IPv6,2001:504:b:81::/64
82,82,IPv6,2001:504:b:88::/64
82,82,IPv6,2001:504:b:89::/64
82,82,IPv6,2001:504:b:90::/64
82,82,IPv6,2001:504:b:91::/64
83,83,IPv4,185.1.55.0/24
83,83,IPv6,2001:7f8:12:1::/64
84,84,IPv4,192.108.148.0/24
84,84,IPv6,2001:7f8:2f::/64
85,85,IPv4,193.108.98.0/24
85,85,IPv6,2001:7f8:e::/64
87,87,IPv4,193.178.185.0/24
87,87,IPv6,2001:7f8:19:1::/64
88,88,IPv4,210.184.127.0/24
88,88,IPv6,2403:2400:1100::/64
89,89,IPv4,144.92.233.224/27
89,89,IPv6,2607:f388:0:2200::/64
91,91,IPv4,194.146.118.0/24
91,91,IPv6,2001:7f8:8::/64
92,92,IPv4,202.249.2.0/24
92,92,IPv6,2001:200:0:fe00::/64
93,93,IPv4,198.32.141.0/24
93,93,IPv6,2001:de8:d::/64
94,94,IPv4,45.127.172.0/22
94,94,IPv6,2001:de8:6::/64
95,95,IPv4,210.173.176.0/23
95,95,IPv6,2001:7fa:7:1::/64
97,97,IPv4,192.203.154.0/24
97,97,IPv6,2001:7fa:4:c0cb::/64
98,98,IPv4,193.110.224.0/24
98,98,IPv6,2001:7f8:7:b::/64
100,100,IPv4,195.208.208.0/21
100,100,IPv6,2001:7f8:20:101::/64
105,105,IPv4,218.100.2.0/24
105,105,IPv6,2001:7fa:b::/64
107,107,IPv4,194.226.100.0/23
107,107,IPv4,194.226.102.0/23
107,107,IPv6,2001:7f8:20:201::/64
107,107,IPv6,2001:7f8:20:202::/64
110,110,IPv4,218.100.0.0/24
110,110,IPv6,2001:7fa:9::/64
111,111,IPv4,218.100.13.0/24
111,111,IPv6,2001:7fa:e::/64
112,112,IPv4,210.100.3.0/24
112,112,IPv6,2001:7fa:c::/64
113,113,IPv4,218.100.19.0/24
114,114,IPv4,218.100.12.0/24
115,115,IPv4,194.116.96.0/24
115,115,IPv6,2001:7f8:23:ffff::/64
119,119,IPv4,64.191.232.0/22
119,119,IPv6,2001:504:0:7::/64
121,121,IPv4,193.201.28.0/24
121,121,IPv6,2001:7f8:10::/64
123,123,IPv4,193.189.82.0/23
123,123,IPv6,2001:7f8:33::/48
125,125,IPv4,36.255.56.0/22
125,125,IPv6,2001:de8:7::/64
126,126,IPv4,101.203.88.0/22
126,126,IPv4,218.100.6.0/23
126,126,IPv6,2001:de8:c::/64
127,127,IPv4,198.32.162.0/24
128,128,IPv4,193.110.13.0/24
128,128,IPv6,2001:7f8:21:9::/64
129,129,IPv4,196.223.14.0/24
129,129,IPv6,2001:43f8:1f0::/64
135,135,IPv4,195.85.217.0/24
135,135,IPv6,2001:7f8:29:1::/64
141,141,IPv4,198.32.198.0/24
142,142,IPv4,206.72.210.0/23
142,142,IPv6,2001:504:13::/64
145,145,IPv4,210.173.184.0/23
145,145,IPv6,2001:7fa:7:2::/64
146,146,IPv4,194.165.32.0/24
151,151,IPv4,198.32.238.0/24
151,151,IPv6,2001:458:26:2::/64
154,154,IPv4,202.78.121.0/24
155,155,IPv4,206.197.187.0/24
155,155,IPv6,2001:504:30::/64
158,158,IPv4,27.111.228.0/22
158,158,IPv6,2001:de8:4::/64
165,165,IPv4,198.32.195.0/24
165,165,IPv6,2620:124:2000::/64
167,167,IPv4,203.190.230.0/24
167,167,IPv6,2001:de8:5::/64
170,170,IPv4,194.54.92.0/25
170,170,IPv6,2001:7f8:3a:e201::/64
171,171,IPv4,187.16.208.0/20
171,171,IPv6,2001:12f8::/64
172,172,IPv4,192.121.80.0/24
172,172,IPv6,2001:7f8:3e::/64
173,173,IPv4,177.52.38.0/23
173,173,IPv6,2001:12f8:0:6::/64
174,174,IPv4,200.219.140.0/24
174,174,IPv6,2001:12f8:0:4::/64
175,175,IPv4,200.219.141.0/24
175,175,IPv6,2001:12f8:0:5::/64
176,176,IPv4,200.219.139.0/24
176,176,IPv6,2001:12f8:0:3::/64
177,177,IPv4,45.6.52.0/22
177,177,IPv6,2001:12f8:0:2::/64
178,178,IPv4,200.192.110.0/24
178,178,IPv6,2001:12f8:0:13::/64
181,181,IPv4,200.0.17.0/24
181,181,IPv6,2001:13c7:6001::/64
184,184,IPv4,185.1.50.0/23
184,184,IPv6,2001:7f8:5d::/116
190,190,IPv4,195.137.179.0/24
190,190,IPv6,2001:7f8:39:1::/64
192,192,IPv4,194.68.130.0/24
192,192,IPv6,2001:7f8:d:100::/64
193,193,IPv4,212.237.193.0/24
193,193,IPv6,2001:7f8:d:203::/64
194,194,IPv4,194.68.133.0/24
194,194,IPv6,2001:7f8:d:300::/64
196,196,IPv4,206.223.139.0/24
196,196,IPv6,2001:504:19:2::/64
197,197,IPv4,206.223.127.128/25
197,197,IPv6,2001:504:19:1::/64
198,198,IPv4,103.218.244.0/23
198,198,IPv4,218.100.48.0/26
198,198,IPv6,2001:de8:1::/64
199,199,IPv4,206.126.116.0/24
204,204,IPv4,206.51.40.0/24
204,204,IPv6,2001:504:13:1::/64
205,205,IPv4,206.51.44.0/24
205,205,IPv6,2001:504:13:5::/64
209,209,IPv4,194.9.117.0/24
209,209,IPv6,2001:7f8:8:5::/64
210,210,IPv4,103.28.74.0/23
210,210,IPv4,218.100.4.0/24
210,210,IPv6,2001:7fa:2::/64
212,212,IPv4,193.138.31.0/24
212,212,IPv6,2001:7f8:56::/64
217,217,IPv4,103.130.252.0/22
