ix_id,ixlan_id,asn,ip
1,1,42,2001:504:0:2::42:1
1,1,42,206.126.236.111
1,1,77,206.126.239.77
1,1,77,206.126.239.78
1,1,109,2001:504:0:2::109:1
1,1,109,206.126.237.85
1,1,293,2001:504:0:2::293:1
1,1,293,206.126.236.137
1,1,577,2001:504:0:2::577:1
1,1,577,206.126.236.203
1,1,668,2001:504:0:2::668:2
1,1,668,206.126.237.42
1,1,701,2001:504:0:2::701:1
1,1,701,206.126.236.194
1,1,714,2001:504:0:2::714:1
1,1,714,2001:504:0:2::714:2
1,1,714,206.126.237.103
1,1,714,206.126.237.51
1,1,800,2001:504:0:2::800:1
1,1,800,206.126.236.96
1,1,812,2001:504:0:2::812:1
1,1,812,206.126.236.105
1,1,1239,2001:504:0:2::1239:1
1,1,1239,206.126.236.84
1,1,1273,2001:504:0:2::1273:1
1,1,1273,206.126.236.73
1,1,1424,206.126.236.186
1,1,1424,206.126.236.206
1,1,1640,206.126.236.157
1,1,1820,2001:504:0:2::1820:1
1,1,1820,206.126.236.4
1,1,1828,2001:504:0:2::1828:1
1,1,1828,206.126.238.22
1,1,2497,2001:504:0:2::2497:1
1,1,2497,206.126.236.23
1,1,2559,206.126.238.43
1,1,2559,206.126.238.44
1,1,2603,2001:504:0:2::2603:1
1,1,2603,206.126.236.230
1,1,2635,2001:504:0:2::2635:1
1,1,2635,2001:504:0:2::2635:2
1,1,2635,206.126.236.197
1,1,2635,206.126.237.124
1,1,2647,2001:504:0:2::2647:1
1,1,2647,206.126.236.153
1,1,2711,2001:504:0:2::2711:3
1,1,2711,206.126.238.19
1,1,2828,2001:504:0:2::2828:1
1,1,2828,206.126.236.85
1,1,2906,2001:504:0:2::2906:1
1,1,2906,2001:504:0:2::2906:2
1,1,2906,206.126.236.238
1,1,2906,206.126.238.97
1,1,2914,2001:504:0:2::2914:1
1,1,2914,206.126.236.12
1,1,3223,206.126.236.169
1,1,3292,2001:504:0:2::3292:1
1,1,3292,206.126.236.59
1,1,3300,2001:504:0:2::3300:2
1,1,3300,206.126.237.17
1,1,3303,2001:504:0:2::3303:1
1,1,3303,206.126.236.147
1,1,3320,2001:504:0:2::3320:2
1,1,3320,206.126.236.94
1,1,3630,2001:504:0:2::3630:1
1,1,3630,206.126.236.146
1,1,3737,2001:504:0:2::3737:1
1,1,3737,206.126.236.133
1,1,3856,2001:504:0:2::3856:1
1,1,3856,206.126.236.110
1,1,4181,2001:504:0:2::4181:1
1,1,4181,206.126.236.64
1,1,4229,2001:504:0:2:0:2:1859:1
1,1,4229,206.126.237.98
1,1,4230,2001:504:0:2::4230:1
1,1,4230,206.126.237.55
1,1,4455,2001:504:0:2::4455:1
1,1,4455,206.126.237.43
1,1,4557,2001:504:0:2::4557:1
1,1,4557,206.126.238.199
1,1,4637,2001:504:0:2::4637:1
1,1,4637,206.126.237.239
1,1,4775,2001:504:0:2::4775:1
1,1,4775,206.126.237.90
1,1,4826,2001:504:0:2::4826:1
1,1,4826,206.126.237.175
1,1,4922,2001:504:0:2::4922:1
1,1,4922,206.126.237.59
1,1,5400,2001:504:0:2::5400:1
1,1,5400,206.126.236.140
1,1,5462,206.126.236.231
1,1,5650,2001:504:0:2::5650:2
1,1,5650,206.126.237.215
1,1,6059,2001:504:0:2::6059:1
1,1,6059,206.126.236.226
1,1,6079,2001:504:0:2::6079:1
1,1,6079,206.126.236.25
1,1,6128,2001:504:0:2::6128:1
1,1,6128,206.126.236.150
1,1,6169,2001:504:0:2::6169:1
1,1,6169,206.126.237.57
1,1,6181,2001:504:0:2::6181:1
1,1,6181,206.126.236.90
1,1,6307,206.126.238.14
1,1,6307,206.126.238.15
1,1,6447,2001:504:0:2::6447:1
1,1,6447,206.126.236.142
1,1,6461,2001:504:0:2::6461:1
1,1,6461,206.126.236.86
1,1,6507,2001:504:0:2::6507:1
1,1,6507,206.126.237.152
